combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.6066090160767882,0.5996671817425413,0.1,0.001,3,1,10
2,0.6066090160767882,0.5996671817425413,0.1,0.001,3,1,50
3,0.606519865680069,0.5996671817425413,0.1,0.001,3,1,100
4,0.6064604320822561,0.5996671817425413,0.1,0.001,3,10,10
5,0.606519865680069,0.5996671817425413,0.1,0.001,3,10,50
6,0.6064307152833497,0.5996671817425413,0.1,0.001,3,10,100
7,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,10
8,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,50
9,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,100
10,0.6072033520549166,0.6000237727326756,0.1,0.001,5,1,10
11,0.608778342396957,0.6003803637228099,0.1,0.001,5,1,50
12,0.6081245728210157,0.6003803637228099,0.1,0.001,5,1,100
13,0.6066387328756946,0.5996671817425413,0.1,0.001,5,10,10
14,0.6068170336691332,0.5999049090692975,0.1,0.001,5,10,50
15,0.6067873168702267,0.5997860454059194,0.1,0.001,5,10,100
16,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,10
17,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,50
18,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,100
19,0.60800570562539,0.6003803637228099,0.1,0.001,8,1,10
20,0.6115717214941606,0.601569000356591,0.1,0.001,8,1,50
21,0.6110368191138451,0.6019255913467253,0.1,0.001,8,1,100
22,0.6066387328756946,0.5996671817425413,0.1,0.001,8,10,10
23,0.6069359008647588,0.5999049090692975,0.1,0.001,8,10,50
24,0.6069656176636653,0.5997860454059194,0.1,0.001,8,10,100
25,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,10
26,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,50
27,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,100
28,0.6087486255980505,0.600499227386188,0.1,0.001,10,1,10
29,0.6127009598526046,0.6019255913467253,0.1,0.001,10,1,50
30,0.6122254910701019,0.6019255913467253,0.1,0.001,10,1,100
31,0.6066387328756946,0.5997860454059194,0.1,0.001,10,10,10
32,0.6069656176636653,0.5999049090692975,0.1,0.001,10,10,50
33,0.6069953344625717,0.5997860454059194,0.1,0.001,10,10,100
34,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,10
35,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,50
36,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,100
37,0.6066684496746011,0.5996671817425413,0.1,0.01,3,1,10
38,0.608778342396957,0.6018067276833472,0.1,0.01,3,1,50
39,0.6133844462274524,0.6064424105550933,0.1,0.01,3,1,100
40,0.6064901488811625,0.5996671817425413,0.1,0.01,3,10,10
41,0.6079165552286707,0.6003803637228099,0.1,0.01,3,10,50
42,0.6122254910701019,0.6046594556044217,0.1,0.01,3,10,100
43,0.6064307152833497,0.5996671817425413,0.1,0.01,3,100,10
44,0.6064307152833497,0.5996671817425413,0.1,0.01,3,100,50
45,0.6067576000713203,0.5997860454059194,0.1,0.01,3,100,100
46,0.607441086446168,0.6002615000594318,0.1,0.01,5,1,10
47,0.6141570829990194,0.6065612742184714,0.1,0.01,5,1,50
48,0.6198627083890523,0.6125044573873767,0.1,0.01,5,1,100
49,0.6066387328756946,0.5999049090692975,0.1,0.01,5,10,10
50,0.6102938991411845,0.6024010460002377,0.1,0.01,5,10,50
51,0.6158509405366854,0.608344229169143,0.1,0.01,5,10,100
52,0.6064307152833497,0.5996671817425413,0.1,0.01,5,100,10
53,0.6064307152833497,0.5996671817425413,0.1,0.01,5,100,50
54,0.606876467266946,0.5999049090692975,0.1,0.01,5,100,100
55,0.608570324804612,0.600499227386188,0.1,0.01,8,1,10
56,0.6176042316721643,0.6081065018423868,0.1,0.01,8,1,50
57,0.6253008825889276,0.6147628669915607,0.1,0.01,8,1,100
58,0.6066981664735075,0.5999049090692975,0.1,0.01,8,10,10
59,0.6111259695105643,0.6026387733269939,0.1,0.01,8,10,50
60,0.616950462096223,0.6090574111494116,0.1,0.01,8,10,100
61,0.6064307152833497,0.5996671817425413,0.1,0.01,8,100,10
62,0.6064307152833497,0.5996671817425413,0.1,0.01,8,100,50
63,0.6069061840658524,0.5999049090692975,0.1,0.01,8,100,100
64,0.6094618287718047,0.6006180910495661,0.1,0.01,10,1,10
65,0.6195952571988945,0.6084630928325211,0.1,0.01,10,1,50
66,0.6270244569255,0.6153571853084512,0.1,0.01,10,1,100
67,0.6066981664735075,0.5999049090692975,0.1,0.01,10,10,10
68,0.6111556863094707,0.602757636990372,0.1,0.01,10,10,50
69,0.6169207452973166,0.6091762748127897,0.1,0.01,10,10,100
70,0.6064307152833497,0.5996671817425413,0.1,0.01,10,100,10
71,0.6064307152833497,0.5996671817425413,0.1,0.01,10,100,50
72,0.6069061840658524,0.5999049090692975,0.1,0.01,10,100,100
73,0.6094023951739919,0.6020444550101034,0.1,0.1,3,1,10
74,0.6803958277614336,0.673838107690479,0.1,0.1,3,1,50
75,0.7287450595821818,0.7203138000713182,0.1,0.1,3,1,100
76,0.6087189087991441,0.601569000356591,0.1,0.1,3,10,10
77,0.6784642358325161,0.6736003803637228,0.1,0.1,3,10,50
78,0.7258328132893525,0.7197194817544277,0.1,0.1,3,10,100
79,0.6064307152833497,0.5996671817425413,0.1,0.1,3,100,10
80,0.6660723306885382,0.6610008320456436,0.1,0.1,3,100,50
